tracing_id,tracing_type,age,n
S110_age9_trial4.png,4,9,15
S110_age9_trial5.png,5,9,11
S111_age9_trial1.png,1,9,12
S111_age9_trial2.png,2,9,11
S111_age9_trial3.png,3,9,11
S111_age9_trial4.png,4,9,12
S111_age9_trial5.png,5,9,11
S112_age9_trial1.png,1,9,11
S112_age9_trial2.png,2,9,11
S112_age9_trial3.png,3,9,11
S112_age9_trial4.png,4,9,11
S112_age9_trial5.png,5,9,11
S113_age9_trial1.png,1,9,11
S113_age9_trial2.png,2,9,10
S113_age9_trial3.png,3,9,11
S113_age9_trial4.png,4,9,12
S113_age9_trial5.png,5,9,11
S114_age9_trial1.png,1,9,11
S114_age9_trial2.png,2,9,11
S114_age9_trial3.png,3,9,11
S114_age9_trial4.png,4,9,11
S114_age9_trial5.png,5,9,11
S115_age9_trial1.png,1,9,11
S115_age9_trial2.png,2,9,11
S115_age9_trial3.png,3,9,11
S115_age9_trial4.png,4,9,11
S115_age9_trial5.png,5,9,11
S116_age9_trial1.png,1,9,11
S116_age9_trial2.png,2,9,10
S116_age9_trial3.png,3,9,11
S116_age9_trial4.png,4,9,11
S116_age9_trial5.png,5,9,11
S117_age9_trial1.png,1,9,12
S117_age9_trial2.png,2,9,10
S117_age9_trial3.png,3,9,11
S117_age9_trial4.png,4,9,12
S117_age9_trial5.png,5,9,11
S118_age9_trial1.png,1,9,11
S118_age9_trial2.png,2,9,10
S118_age9_trial3.png,3,9,11
S118_age9_trial4.png,4,9,11
S118_age9_trial5.png,5,9,11
S119_age9_trial1.png,1,9,11
S119_age9_trial2.png,2,9,11
S119_age9_trial3.png,3,9,11
S119_age9_trial4.png,4,9,11
S119_age9_trial5.png,5,9,11
S11_age4_trial1.png,1,4,14
S11_age4_trial2.png,2,4,12
S11_age4_trial3.png,3,4,11
S11_age4_trial4.png,4,4,13
S11_age4_trial5.png,5,4,13
S120_age9_trial1.png,1,9,11
S120_age9_trial2.png,2,9,10
S120_age9_trial3.png,3,9,12
S120_age9_trial4.png,4,9,11
S120_age9_trial5.png,5,9,12
S12_age4_trial1.png,1,4,12
S12_age4_trial2.png,2,4,11
S12_age4_trial3.png,3,4,13
S12_age4_trial4.png,4,4,19
S12_age4_trial5.png,5,4,17
S13_age4_trial1.png,1,4,19
S13_age4_trial2.png,2,4,15
S13_age4_trial3.png,3,4,20
S13_age4_trial4.png,4,4,18
S13_age4_trial5.png,5,4,17
S14_age4_trial1.png,1,4,14
S14_age4_trial2.png,2,4,12
S14_age4_trial3.png,3,4,19
S14_age4_trial4.png,4,4,18
S14_age4_trial5.png,5,4,16
S15_age4_trial1.png,1,4,19
S15_age4_trial2.png,2,4,11
S15_age4_trial3.png,3,4,18
S15_age4_trial4.png,4,4,14
S15_age4_trial5.png,5,4,11
S16_age4_trial1.png,1,4,16
S16_age4_trial2.png,2,4,12
S16_age4_trial3.png,3,4,13
S16_age4_trial4.png,4,4,10
S16_age4_trial5.png,5,4,11
S17_age4_trial1.png,1,4,11
S17_age4_trial2.png,2,4,16
S17_age4_trial3.png,3,4,11
S17_age4_trial4.png,4,4,11
S17_age4_trial5.png,5,4,11
S18_age4_trial1.png,1,4,11
S18_age4_trial2.png,2,4,15
S18_age4_trial3.png,3,4,14
S18_age4_trial4.png,4,4,16
S18_age4_trial5.png,5,4,11
S19_age4_trial1.png,1,4,13
S19_age4_trial2.png,2,4,11
S19_age4_trial3.png,3,4,10
S19_age4_trial4.png,4,4,11
S19_age4_trial5.png,5,4,12
S1_age4_trial1.png,1,4,12
S1_age4_trial2.png,2,4,16
S1_age4_trial3.png,3,4,11
S1_age4_trial4.png,4,4,12
S1_age4_trial5.png,5,4,14
S20_age4_trial1.png,1,4,11
S20_age4_trial2.png,2,4,18
S20_age4_trial3.png,3,4,10
S20_age4_trial4.png,4,4,11
S20_age4_trial5.png,5,4,11
S21_age5_trial1.png,1,5,14
S21_age5_trial2.png,2,5,14
S21_age5_trial3.png,3,5,11
S21_age5_trial4.png,4,5,14
S21_age5_trial5.png,5,5,15
S22_age5_trial1.png,1,5,14
S22_age5_trial2.png,2,5,12
S22_age5_trial3.png,3,5,14
S22_age5_trial4.png,4,5,15
S22_age5_trial5.png,5,5,13
S23_age5_trial1.png,1,5,16
S23_age5_trial2.png,2,5,20
S23_age5_trial3.png,3,5,16
S23_age5_trial4.png,4,5,16
S23_age5_trial5.png,5,5,15
S24_age5_trial1.png,1,5,18
S24_age5_trial2.png,2,5,15
S24_age5_trial3.png,3,5,16
S24_age5_trial4.png,4,5,18
S24_age5_trial5.png,5,5,16
S25_age5_trial1.png,1,5,19
S25_age5_trial2.png,2,5,17
S25_age5_trial3.png,3,5,17
S25_age5_trial4.png,4,5,16
S25_age5_trial5.png,5,5,18
S26_age5_trial1.png,1,5,15
S26_age5_trial2.png,2,5,14
S26_age5_trial3.png,3,5,21
S26_age5_trial4.png,4,5,14
S26_age5_trial5.png,5,5,11
S27_age5_trial1.png,1,5,11
S27_age5_trial2.png,2,5,11
S27_age5_trial3.png,3,5,13
S27_age5_trial4.png,4,5,12
S27_age5_trial5.png,5,5,12
S28_age5_trial1.png,1,5,12
S28_age5_trial2.png,2,5,11
S28_age5_trial3.png,3,5,10
S28_age5_trial4.png,4,5,11
S28_age5_trial5.png,5,5,11
S29_age5_trial1.png,1,5,13
S29_age5_trial2.png,2,5,14
S29_age5_trial3.png,3,5,14
S29_age5_trial4.png,4,5,14
S29_age5_trial5.png,5,5,13
S2_age4_trial1.png,1,4,11
S2_age4_trial2.png,2,4,11
S2_age4_trial3.png,3,4,10
S2_age4_trial4.png,4,4,10
S2_age4_trial5.png,5,4,12
S30_age5_trial1.png,1,5,11
S30_age5_trial2.png,2,5,13
S30_age5_trial3.png,3,5,11
S30_age5_trial4.png,4,5,14
S30_age5_trial5.png,5,5,13
S31_age5_trial1.png,1,5,11
S31_age5_trial2.png,2,5,11
S31_age5_trial3.png,3,5,13
S31_age5_trial4.png,4,5,11
S31_age5_trial5.png,5,5,11
S32_age5_trial1.png,1,5,11
S32_age5_trial2.png,2,5,11
S32_age5_trial3.png,3,5,12
S32_age5_trial4.png,4,5,11
S32_age5_trial5.png,5,5,11
S33_age5_trial1.png,1,5,11
S33_age5_trial2.png,2,5,11
S33_age5_trial3.png,3,5,10
S33_age5_trial4.png,4,5,10
S33_age5_trial5.png,5,5,11
S34_age5_trial1.png,1,5,10
S34_age5_trial2.png,2,5,11
S34_age5_trial3.png,3,5,10
S34_age5_trial4.png,4,5,10
S34_age5_trial5.png,5,5,11
S35_age5_trial1.png,1,5,11
S35_age5_trial2.png,2,5,11
S35_age5_trial3.png,3,5,10
S35_age5_trial4.png,4,5,11
S35_age5_trial5.png,5,5,12
S36_age5_trial1.png,1,5,10
S36_age5_trial2.png,2,5,11
S36_age5_trial3.png,3,5,10
S36_age5_trial4.png,4,5,11
S36_age5_trial5.png,5,5,11
S37_age5_trial1.png,1,5,10
S37_age5_trial2.png,2,5,10
S37_age5_trial3.png,3,5,10
S37_age5_trial4.png,4,5,10
S37_age5_trial5.png,5,5,11
S38_age5_trial1.png,1,5,10
S38_age5_trial2.png,2,5,10
S38_age5_trial3.png,3,5,10
S38_age5_trial4.png,4,5,10
S38_age5_trial5.png,5,5,11
S39_age5_trial1.png,1,5,11
S39_age5_trial2.png,2,5,11
S39_age5_trial3.png,3,5,10
S39_age5_trial4.png,4,5,10
S39_age5_trial5.png,5,5,11
S3_age4_trial1.png,1,4,10
S3_age4_trial2.png,2,4,11
S3_age4_trial3.png,3,4,10
S3_age4_trial4.png,4,4,11
S3_age4_trial5.png,5,4,11
S40_age5_trial1.png,1,5,10
S40_age5_trial2.png,2,5,10
S40_age5_trial3.png,3,5,10
S40_age5_trial4.png,4,5,10
S40_age5_trial5.png,5,5,11
S41_age6_trial1.png,1,6,13
S41_age6_trial2.png,2,6,12
S41_age6_trial3.png,3,6,16
S41_age6_trial4.png,4,6,13
S41_age6_trial5.png,5,6,14
S42_age6_trial1.png,1,6,13
S42_age6_trial2.png,2,6,14
S42_age6_trial3.png,3,6,12
S42_age6_trial4.png,4,6,12
S42_age6_trial5.png,5,6,15
S43_age6_trial1.png,1,6,14
S43_age6_trial2.png,2,6,13
S43_age6_trial3.png,3,6,14
S43_age6_trial4.png,4,6,18
S43_age6_trial5.png,5,6,16
S44_age6_trial1.png,1,6,14
S44_age6_trial2.png,2,6,19
S44_age6_trial3.png,3,6,17
S44_age6_trial4.png,4,6,11
S44_age6_trial5.png,5,6,15
S45_age6_trial1.png,1,6,19
S45_age6_trial2.png,2,6,14
S45_age6_trial3.png,3,6,12
S45_age6_trial4.png,4,6,15
S45_age6_trial5.png,5,6,17
S46_age6_trial1.png,1,6,16
S46_age6_trial2.png,2,6,14
S46_age6_trial3.png,3,6,13
S46_age6_trial4.png,4,6,18
S46_age6_trial5.png,5,6,17
S47_age6_trial1.png,1,6,11
S47_age6_trial2.png,2,6,12
S47_age6_trial3.png,3,6,13
S47_age6_trial4.png,4,6,15
S47_age6_trial5.png,5,6,10
S48_age6_trial1.png,1,6,14
S48_age6_trial2.png,2,6,11
S48_age6_trial3.png,3,6,12
S48_age6_trial4.png,4,6,12
S48_age6_trial5.png,5,6,10
S49_age6_trial1.png,1,6,11
S49_age6_trial2.png,2,6,11
S49_age6_trial3.png,3,6,12
S49_age6_trial4.png,4,6,11
S49_age6_trial5.png,5,6,14
S4_age4_trial1.png,1,4,10
S4_age4_trial2.png,2,4,10
S4_age4_trial3.png,3,4,10
S4_age4_trial4.png,4,4,10
S4_age4_trial5.png,5,4,12
S50_age6_trial1.png,1,6,15
S50_age6_trial2.png,2,6,14
S50_age6_trial3.png,3,6,14
S50_age6_trial4.png,4,6,11
S50_age6_trial5.png,5,6,13
S51_age6_trial1.png,1,6,11
S51_age6_trial2.png,2,6,13
S51_age6_trial3.png,3,6,11
S51_age6_trial4.png,4,6,11
S51_age6_trial5.png,5,6,12
S52_age6_trial1.png,1,6,11
S52_age6_trial2.png,2,6,11
S52_age6_trial3.png,3,6,12
S52_age6_trial4.png,4,6,11
S52_age6_trial5.png,5,6,12
S53_age6_trial1.png,1,6,11
S53_age6_trial2.png,2,6,11
S53_age6_trial3.png,3,6,11
S53_age6_trial4.png,4,6,11
S53_age6_trial5.png,5,6,11
S54_age6_trial1.png,1,6,10
S54_age6_trial2.png,2,6,11
S54_age6_trial3.png,3,6,11
S54_age6_trial4.png,4,6,11
S54_age6_trial5.png,5,6,10
S55_age6_trial1.png,1,6,11
S55_age6_trial2.png,2,6,11
S55_age6_trial3.png,3,6,11
S55_age6_trial4.png,4,6,12
S55_age6_trial5.png,5,6,10
S56_age6_trial1.png,1,6,11
S56_age6_trial2.png,2,6,12
S56_age6_trial3.png,3,6,11
S56_age6_trial4.png,4,6,11
S56_age6_trial5.png,5,6,10
S57_age6_trial1.png,1,6,11
S57_age6_trial2.png,2,6,11
S57_age6_trial3.png,3,6,11
S57_age6_trial4.png,4,6,12
S57_age6_trial5.png,5,6,10
S58_age6_trial1.png,1,6,11
S58_age6_trial2.png,2,6,12
S58_age6_trial3.png,3,6,12
S58_age6_trial4.png,4,6,11
S58_age6_trial5.png,5,6,10
S59_age6_trial1.png,1,6,11
S59_age6_trial2.png,2,6,11
S59_age6_trial3.png,3,6,11
S59_age6_trial4.png,4,6,11
S59_age6_trial5.png,5,6,11
S5_age4_trial1.png,1,4,11
S5_age4_trial2.png,2,4,11
S5_age4_trial3.png,3,4,10
S5_age4_trial4.png,4,4,10
S5_age4_trial5.png,5,4,11
S60_age6_trial1.png,1,6,10
S60_age6_trial2.png,2,6,11
S60_age6_trial3.png,3,6,12
S60_age6_trial4.png,4,6,11
S60_age6_trial5.png,5,6,11
S61_age7_trial1.png,1,7,15
S61_age7_trial2.png,2,7,12
S61_age7_trial3.png,3,7,14
S61_age7_trial4.png,4,7,13
S61_age7_trial5.png,5,7,13
S62_age7_trial1.png,1,7,12
S62_age7_trial2.png,2,7,14
S62_age7_trial3.png,3,7,14
S62_age7_trial4.png,4,7,12
S62_age7_trial5.png,5,7,14
S63_age7_trial1.png,1,7,18
S63_age7_trial2.png,2,7,13
S63_age7_trial3.png,3,7,16
S63_age7_trial4.png,4,7,12
S63_age7_trial5.png,5,7,13
S64_age7_trial1.png,1,7,16
S64_age7_trial2.png,2,7,17
S64_age7_trial3.png,3,7,13
S64_age7_trial4.png,4,7,14
S64_age7_trial5.png,5,7,15
S65_age7_trial1.png,1,7,13
S65_age7_trial2.png,2,7,12
S65_age7_trial3.png,3,7,16
S65_age7_trial4.png,4,7,15
S65_age7_trial5.png,5,7,12
S66_age7_trial1.png,1,7,12
S66_age7_trial2.png,2,7,13
S66_age7_trial3.png,3,7,18
S66_age7_trial4.png,4,7,11
S66_age7_trial5.png,5,7,13
S67_age7_trial1.png,1,7,12
S67_age7_trial2.png,2,7,18
S67_age7_trial3.png,3,7,14
S67_age7_trial4.png,4,7,14
S67_age7_trial5.png,5,7,13
S68_age7_trial1.png,1,7,13
S68_age7_trial2.png,2,7,11
S68_age7_trial3.png,3,7,10
S68_age7_trial4.png,4,7,15
S68_age7_trial5.png,5,7,12
S69_age7_trial1.png,1,7,14
S69_age7_trial2.png,2,7,11
S69_age7_trial3.png,3,7,11
S69_age7_trial4.png,4,7,12
S69_age7_trial5.png,5,7,14
S6_age4_trial1.png,1,4,11
S6_age4_trial2.png,2,4,11
S6_age4_trial3.png,3,4,10
S6_age4_trial4.png,4,4,10
S6_age4_trial5.png,5,4,12
S70_age7_trial1.png,1,7,15
S70_age7_trial2.png,2,7,13
S70_age7_trial3.png,3,7,15
S70_age7_trial4.png,4,7,12
S70_age7_trial5.png,5,7,15
S71_age7_trial1.png,1,7,13
S71_age7_trial2.png,2,7,13
S71_age7_trial3.png,3,7,12
S71_age7_trial4.png,4,7,13
S71_age7_trial5.png,5,7,12
S72_age7_trial1.png,1,7,10
S72_age7_trial2.png,2,7,11
S72_age7_trial3.png,3,7,11
S72_age7_trial4.png,4,7,12
S72_age7_trial5.png,5,7,12
S73_age7_trial1.png,1,7,10
S73_age7_trial2.png,2,7,11
S73_age7_trial3.png,3,7,10
S73_age7_trial4.png,4,7,12
S73_age7_trial5.png,5,7,11
S74_age7_trial1.png,1,7,11
S74_age7_trial2.png,2,7,11
S74_age7_trial3.png,3,7,10
S74_age7_trial4.png,4,7,12
S74_age7_trial5.png,5,7,11
S75_age7_trial1.png,1,7,10
S75_age7_trial2.png,2,7,12
S75_age7_trial3.png,3,7,10
S75_age7_trial4.png,4,7,11
S75_age7_trial5.png,5,7,12
S76_age7_trial1.png,1,7,11
S76_age7_trial2.png,2,7,11
S76_age7_trial3.png,3,7,11
S76_age7_trial4.png,4,7,11
S76_age7_trial5.png,5,7,11
S77_age7_trial1.png,1,7,10
S77_age7_trial2.png,2,7,11
S77_age7_trial3.png,3,7,10
S77_age7_trial4.png,4,7,12
S77_age7_trial5.png,5,7,11
S78_age7_trial1.png,1,7,11
S78_age7_trial2.png,2,7,11
S78_age7_trial3.png,3,7,11
S78_age7_trial4.png,4,7,11
S78_age7_trial5.png,5,7,11
S79_age7_trial1.png,1,7,11
S79_age7_trial2.png,2,7,11
S79_age7_trial3.png,3,7,11
S79_age7_trial4.png,4,7,12
S79_age7_trial5.png,5,7,11
S7_age4_trial1.png,1,4,10
S7_age4_trial2.png,2,4,11
S7_age4_trial3.png,3,4,11
S7_age4_trial4.png,4,4,10
S7_age4_trial5.png,5,4,11
S80_age7_trial1.png,1,7,11
S80_age7_trial2.png,2,7,12
S80_age7_trial3.png,3,7,11
S80_age7_trial4.png,4,7,12
S80_age7_trial5.png,5,7,12
S81_age8_trial1.png,1,8,14
S81_age8_trial2.png,2,8,12
S81_age8_trial3.png,3,8,13
S81_age8_trial4.png,4,8,15
S81_age8_trial5.png,5,8,14
S82_age8_trial1.png,1,8,11
S82_age8_trial2.png,2,8,13
S82_age8_trial3.png,3,8,20
S82_age8_trial4.png,4,8,12
S82_age8_trial5.png,5,8,17
S83_age8_trial1.png,1,8,15
S83_age8_trial2.png,2,8,15
S83_age8_trial3.png,3,8,14
S83_age8_trial4.png,4,8,17
S83_age8_trial5.png,5,8,13
S84_age8_trial1.png,1,8,12
S84_age8_trial2.png,2,8,15
S84_age8_trial3.png,3,8,20
S84_age8_trial4.png,4,8,11
S84_age8_trial5.png,5,8,12
S85_age8_trial1.png,1,8,22
S85_age8_trial2.png,2,8,19
S85_age8_trial3.png,3,8,15
S85_age8_trial4.png,4,8,17
S85_age8_trial5.png,5,8,12
S86_age8_trial1.png,1,8,17
S86_age8_trial2.png,2,8,15
S86_age8_trial3.png,3,8,11
S86_age8_trial4.png,4,8,16
S86_age8_trial5.png,5,8,15
S87_age8_trial1.png,1,8,11
S87_age8_trial2.png,2,8,11
S87_age8_trial3.png,3,8,10
S87_age8_trial4.png,4,8,11
S87_age8_trial5.png,5,8,14
S88_age8_trial1.png,1,8,11
S88_age8_trial2.png,2,8,11
S88_age8_trial3.png,3,8,13
S88_age8_trial4.png,4,8,11
S88_age8_trial5.png,5,8,13
S89_age8_trial1.png,1,8,11
S89_age8_trial2.png,2,8,14
S89_age8_trial3.png,3,8,13
S89_age8_trial4.png,4,8,13
S89_age8_trial5.png,5,8,12
S8_age4_trial1.png,1,4,11
S8_age4_trial2.png,2,4,11
S8_age4_trial3.png,3,4,11
S8_age4_trial4.png,4,4,11
S8_age4_trial5.png,5,4,11
S90_age8_trial1.png,1,8,11
S90_age8_trial2.png,2,8,12
S90_age8_trial3.png,3,8,10
S90_age8_trial4.png,4,8,14
S90_age8_trial5.png,5,8,11
S91_age8_trial1.png,1,8,11
S91_age8_trial2.png,2,8,11
S91_age8_trial3.png,3,8,11
S91_age8_trial4.png,4,8,11
S91_age8_trial5.png,5,8,11
S92_age8_trial1.png,1,8,11
S92_age8_trial2.png,2,8,11
S92_age8_trial3.png,3,8,11
S92_age8_trial4.png,4,8,11
S92_age8_trial5.png,5,8,11
S93_age8_trial1.png,1,8,11
S93_age8_trial2.png,2,8,11
S93_age8_trial3.png,3,8,10
S93_age8_trial4.png,4,8,11
S93_age8_trial5.png,5,8,11
S94_age8_trial1.png,1,8,11
S94_age8_trial2.png,2,8,11
S94_age8_trial3.png,3,8,11
S94_age8_trial4.png,4,8,11
S94_age8_trial5.png,5,8,11
S95_age8_trial1.png,1,8,11
S95_age8_trial2.png,2,8,11
S95_age8_trial3.png,3,8,11
S95_age8_trial4.png,4,8,11
S95_age8_trial5.png,5,8,11
S96_age8_trial1.png,1,8,11
S96_age8_trial2.png,2,8,11
S96_age8_trial3.png,3,8,10
S96_age8_trial4.png,4,8,10
S96_age8_trial5.png,5,8,12
S97_age8_trial1.png,1,8,11
S97_age8_trial2.png,2,8,11
S97_age8_trial3.png,3,8,10
S97_age8_trial4.png,4,8,10
S97_age8_trial5.png,5,8,11
S98_age8_trial1.png,1,8,10
S98_age8_trial2.png,2,8,11
S98_age8_trial3.png,3,8,10
S98_age8_trial4.png,4,8,10
S98_age8_trial5.png,5,8,12
S99_age8_trial1.png,1,8,11
S99_age8_trial2.png,2,8,12
S99_age8_trial3.png,3,8,10
S99_age8_trial4.png,4,8,11
S99_age8_trial5.png,5,8,12
S9_age4_trial1.png,1,4,10
S9_age4_trial2.png,2,4,11
S9_age4_trial3.png,3,4,10
S9_age4_trial4.png,4,4,10
S9_age4_trial5.png,5,4,11
