Date,Anonymized ID,Birthday,Age,Age Group,Gender,Household Adults,Household Children,Caregiver Relationship,Caregiver Education,Maternal Education,Caregiver #1 Relationship,Caregiver #1 Gender,Caregiver #1 Hours with Child,Caregiver #1 Languages,Caregiver #2 Relationship,Caregiver #2 Gender,Caregiver #2 Hours with Child,Caregiver #2 Languages,Caregiver #3 Relationship,Caregiver #3 Gender,Caregiver #3 Hours with Child,Caregiver #3 Languages,Caregiver #4 Relationship,Caregiver #4 Gender,Caregiver #4 Hours with Child,Caregiver #4 Languages,Picture Freq,Play Freq,Talk Freq,Draw Freq,Other Draw Freq,Other Draw Materials,Picture Books?,Picture Book Number,Drawing Materials?,Drawing Number,Posters?,Poster Number,TVs?,TV Number,Toys?,Toy Number,Attend school/daycare?,Years in school/daycare
9/1/2024,20,8/30/2020,4.008219178,4,F,2,2,Father,5,6,Father,M,3,"60% Swahili, 30% Luo, 10% English",Mother,F,4,"50% Swahili, 40% Luo, 10% English",,,,,,,,,3,4,4,4,1,none,1,4,1,6,1,2,1,1,1,15,1,3
8/26/2024,21,10/20/2018,5.854794521,5,M,4,3,Mother,5,5,Mother,F,3,"80% Swahili, 20% Luo",Nanny,F,3,"50% Swahili, 50% Luo",Father,M,2,"90% Swahili, 10% Luo",,,,,3,2,5,3,2,bottle cap,0,0,1,3,1,1,1,1,0,0,1,2
8/27/2024,22,7/21/2019,5.106849315,5,M,5,2,Mother,6,6,Mother,F,6,"60% English, 40% Swahili",Grandmother,F,8,"60% Luo, 40% Swahili",Grandfather,M,5,"60% Swahili, 40% Luo",Father,M,5,"60% English, 40% Swahili",3,4,5,4,3,"chalk, stick",1,6,1,8,1,3,1,2,1,4,1,2
8/27/2024,23,7/20/2019,5.109589041,5,M,2,4,Mother,1,1,Mother,F,6,"60% Luo, 40% Swahili",Father,M,4,"50% Swahili, 50% Luo",,,,,,,,,4,2,5,4,1,none,1,1,1,14,0,0,0,0,1,1,1,2
8/27/2024,24,5/20/2019,5.276712329,5,M,4,2,Mother,1,1,Mother,F,3,"70% Swahili, 30% Luo",Father,M,2,"70% Swahili, 30% Luo",,,,,,,,,4,5,2,4,1,none,0,0,1,5,1,3,1,1,1,3,1,3
8/27/2024,25,6/25/2019,5.178082192,5,M,2,6,Mother,1,1,Mother,F,7,"70% Luo, 30% Swahili",,,,,,,,,,,,,4,5,4,4,1,none,1,1,1,2,1,2,1,1,0,0,1,3
8/27/2024,26,9/9/2018,5.969863014,5,M,2,4,Mother,3,3,Mother,F,4,"70% Swahili, 20% Luo, 10% English",Father,M,2,"70% Swahili, 20% Luo, 10% English",,,,,,,,,5,5,4,4,2,stick,1,3,1,3,1,3,1,1,1,2,1,2
8/27/2024,27,3/17/2019,5.452054795,5,F,2,2,Mother,1,1,Mother,F,6,100% Swahili,Grandmother,F,5,100% Swahili,,,,,,,,,2,5,4,4,1,none,1,1,1,1,1,1,0,0,0,0,1,1
8/27/2024,28,5/29/2019,5.252054795,5,F,5,2,Mother,6,6,Grandmother,F,6,"60% Swahili, 30% Luo, 10% English",Mother,F,12,"70% Swahili, 20% English, 10% Luo",Grandfather,M,4,"80% Swahili, 20% Luo",,,,,3,4,5,4,2,"chalk, stick, charcoal",1,3,1,5,1,6,1,1,1,4,1,3
8/27/2024,29,6/12/2019,5.21369863,5,M,2,6,Mother,1,1,Mother,F,2,"80% Swahili, 20% Luo",Father,M,3,100% Swahili,,,,,,,,,3,4,4,4,2,"stick, charcoal, soft clay",1,4,1,5,1,3,1,1,1,30,1,1
8/27/2024,30,11/18/2018,5.778082192,5,M,2,4,Father,3,1,Father,M,4,"70% Swahili, 30% Luo",Uncle,M,4,"70% Swahili, 30% Luo",,,,,,,,,3,4,5,4,1,none,0,0,1,14,1,2,1,1,1,2,1,4
8/27/2024,31,4/19/2019,5.361643836,5,M,2,3,Mother,1,1,Sister,F,12,"80% Swahili, 20% Luo",Mother,F,1,"90% Swahili, 10% Luo",,,,,,,,,5,4,4,5,2,stick,1,10,1,12,1,4,1,1,1,20,1,1
8/27/2024,32,5/16/2019,5.287671233,5,F,2,3,Aunt,1,1,Aunt,F,4,100% Swahili,,,,,,,,,,,,,4,4,4,4,2,charcoal,1,1,1,5,1,6,1,1,1,4,1,2
8/27/2024,33,8/7/2019,5.060273973,5,M,2,3,Mother,1,1,Mother,F,4,100% Swahili,,,,,,,,,,,,,4,4,4,4,2,"charcoal, stick",1,1,1,4,1,6,1,1,1,3,1,2
8/27/2024,34,1/11/2019,5.630136986,5,F,2,3,Mother,3,3,Mother,F,5,100% Swahili,Father,M,3,100% Swahili,,,,,,,,,4,2,5,4,1,none,1,3,1,4,1,2,1,1,1,3,1,2
8/27/2024,35,9/8/2018,5.97260274,5,F,2,2,Mother,5,5,Mother,F,8,"60% Swahili, 20% Luo, 20% English",Father,M,4,"80% Swahili, 20% Luo",,,,,,,,,3,4,4,3,3,"chalk, charcoal, fingers",1,5,1,20,1,7,1,1,1,8,1,3
8/27/2024,36,12/25/2018,5.676712329,5,F,3,3,Mother,1,1,Mother,F,4,"80% Swahili, 20% Luo",,,,,,,,,,,,,2,5,4,3,1,none,1,2,1,3,1,1,0,0,0,0,1,2
8/27/2024,37,2/16/2019,5.531506849,5,F,2,3,Mother,1,1,Mother,F,5,100% Swahili,Father,M,2,100% Swahili,,,,,,,,,3,3,4,3,1,none,1,2,1,6,1,3,0,0,1,3,1,3
8/27/2024,38,1/7/2019,5.64109589,5,F,6,2,Grandmother,3,1,Grandmother,F,6,"80% Swahili, 20% Luo",Aunt,F,8,"90% Swahili, 10% Luo",,,,,,,,,4,4,4,5,1,none,1,6,1,12,1,4,1,1,1,4,1,2
8/27/2024,39,1/22/2019,5.6,5,M,2,7,Mother,1,1,Mother,F,2,"90% Swahili, 10% Luo",Aunt,F,2,100% Swahili,,,,,,,,,3,2,5,5,1,none,1,2,1,2,1,1,1,1,0,0,1,1
8/29/2024,40,10/17/2018,5.871232877,5,F,1,2,Mother,5,5,Mother,F,7,"80% Swahili, 20% Luo",Aunt,F,2,"80% Swahili, 20% Luo",,,,,,,,,2,2,4,4,4,stick,1,2,1,5,1,4,1,1,1,3,1,4
8/26/2024,41,10/20/2017,6.854794521,6,M,2,1,Mother,3,3,Mother,F,1,"60% Swahili, 30% English, 10% Luo",Grandmother,F,2,"50% Swahili, 50% Luo",,,,,,,,,3,3,4,4,2,crystal,1,5,0,0,1,1,1,1,1,3,1,4
8/26/2024,42,10/30/2017,6.82739726,6,M,2,4,Mother,1,1,Mother,F,4,"70% Luo, 30% Swahili",Father,M,2,"80% Luo, 20% Swahili",,,,,,,,,2,4,4,5,1,none,1,2,1,3,1,2,0,0,1,3,1,3
8/26/2024,43,10/21/2017,6.852054795,6,F,2,3,Mother,3,3,Mother,F,12,"50% Swahili, 50% Luo",Father,M,3,"50% Swahili, 50% Luo",Grandmother,F,2,100% Luo,,,,,4,3,4,4,2,"stick, charcoal",1,1,1,1,1,2,0,0,1,2,1,4
8/29/2024,44,7/25/2018,6.101369863,6,M,2,3,Mother,3,3,Mother,F,5,100% Swahili,Father,M,3,100% Swahili,Aunt,F,1,100% Swahili,Grandmother,F,1,100% Swahili,2,3,5,5,2,stick,1,3,1,4,1,3,1,1,1,10,1,4
8/29/2024,45,3/27/2018,6.430136986,6,M,2,4,Mother,1,1,Mother,F,4,100% Swahili,Father,M,1,100% Swahili,,,,,,,,,4,5,5,4,2,watercolors,1,6,1,7,1,2,1,1,1,12,1,4
8/29/2024,46,2/2/2018,6.575342466,6,M,2,2,Mother,3,3,Mother,F,6,"80% Swahili, 10% Luo, 10% English",Father,M,3,"80% Swahili, 15% Luo, 5% English",,,,,,,,,2,4,4,3,1,none,1,2,1,13,0,0,1,1,1,2,1,4
8/29/2024,47,9/26/2017,6.928767123,6,F,1,3,Mother,5,5,Mother,F,5,"80% Swahili, 20% English",,,,,,,,,,,,,2,2,4,4,2,stick,1,3,1,15,0,0,1,1,1,5,1,4
8/29/2024,48,10/16/2017,6.873972603,6,M,6,4,Mother,1,1,Mother,F,4,"80% Swahili, 20% Luo",Father ,M,3,"80% Swahili, 20% Luo",Aunt,F,4,"80% Swahili, 20% Luo",,,,,5,4,4,4,1,none,1,1,1,1,1,1,0,0,0,0,1,2
8/30/2024,49,1/24/2018,6.602739726,6,F,2,4,Aunt,3,5,Mother,F,5,"70% Swahili, 15% Luo, 15% English",Father,M,4,"70% Swahili, 15% Luo, 15% English",Aunt,F,7,"70% Swahili, 15% Luo, 15% English",,,,,3,4,4,4,2,"chalk, charcoal",1,4,1,3,1,4,1,1,1,3,1,3
9/2/2024,50,6/3/2018,6.254794521,6,F,2,3,Mother,5,5,Mother,F,8,"80% Swahili, 15% English, 5% Luo",Father,M,3,"80% Swahili, 15% English, 5% Luo",,,,,,,,,4,4,4,4,3,"charcoal, stick",1,2,1,10,1,3,1,1,1,6,1,3
9/2/2024,51,7/7/2018,6.161643836,6,M,3,4,Mother,1,1,Mother,F,6,"80% Swahili, 20% Luo",Uncle,M,4,100% Swahili,Father,M,3,"80% Swahili, 20% Luo",,,,,4,3,4,3,2,stick,1,3,1,3,1,4,1,1,1,2,1,3
9/2/2024,52,3/31/2018,6.430136986,6,F,5,2,Mother,3,3,Mother,F,8,"80% Swahili, 20% Luo",Father,M,4,"80% Luo, 20% Swahili",Sister,F,8,"80% Swahili, 20% Luo",,,,,3,3,4,5,2,watercolors,1,4,1,24,1,3,0,0,1,10,1,6
9/2/2024,53,6/10/2018,6.235616438,6,F,2,2,Mother,1,1,Mother,F,8,"80% Swahili, 20% Luo",Father,M,6,"80% Swahili, 20% Luo",,,,,,,,,4,4,4,5,1,none,1,10,1,20,1,2,1,1,1,5,1,3
9/2/2024,54,9/11/2017,6.980821918,6,M,2,2,Mother,3,3,Mother,F,6,"70% Swahili, 30% English",Father,M,3,"80% Swahili, 20% Luo",,,,,,,,,4,4,5,5,3,"chalk, watercolors",1,3,1,5,1,2,1,1,1,2,1,6
9/2/2024,55,3/7/2018,6.495890411,6,M,2,2,Mother,1,1,Mother,F,4,100% Swahili,,,,,,,,,,,,,3,2,4,3,3,charcoal,1,1,1,16,1,2,1,1,1,20,1,4
9/2/2024,56,8/27/2018,6.021917808,6,M,2,3,Mother,5,5,Mother,F,4,"60% Luo, 40% Swahili",Father,M,2,100% Luo,,,,,,,,,3,3,4,3,3,"stick, charcoal, chalk",1,3,1,14,1,2,1,1,1,5,1,4
9/2/2024,57,11/24/2017,6.778082192,6,F,3,1,Mother,3,3,Mother,F,8,"80% Swahili, 10% English, 10% Luo",Grandmother,F,8,"70% Swahili, 30% Luo",,,,,,,,,3,3,4,4,2,"stick, stone, finger",1,3,1,5,1,4,1,1,1,3,1,3
9/2/2024,58,1/20/2018,6.621917808,6,M,2,5,Mother,3,3,Mother,F,4,"80% Swahili, 20% Luo",Father,M,2,100% Swahili,,,,,,,,,3,3,4,5,5,"stick, charcoal",1,2,1,3,1,2,1,1,1,1,1,6
9/2/2024,59,2/4/2018,6.580821918,6,M,1,3,Mother,1,1,Mother,F,5,"80% Swahili, 20% Luo",,,,,,,,,,,,,5,5,5,2,1,none,1,2,1,3,1,2,0,0,1,2,1,2
9/2/2024,60,10/10/2017,6.901369863,6,M,2,2,Father,5,4,Father,M,3,"70% Swahili, 30% Luo, 10% English",Mother,F,7,"50% Swahili, 50% Luo",,,,,,,,,4,4,3,4,4,"stick, stone",1,5,1,30,1,7,0,0,1,15,1,3
8/26/2024,61,8/4/2017,7.065753425,7,M,2,2,Mother,5,5,Mother,F,4,"70% Swahili, 20% Luo, 10% English",Father,M,2,"70% Swahili, 20% Luo, 10% English",,,,,,,,,3,4,4,4,1,N/A,1,2,1,10,1,2,1,1,1,2,1,5
8/26/2024,62,7/4/2017,7.150684932,7,F,2,6,Mother,1,1,Mother,F,6,"80% Swahili, 20% Luo",Father,M,3,"80% Swahili, 20% Luo",,,,,,,,,2,3,5,4,4,"chalk, stick, charcoal",1,2,1,3,1,4,1,1,1,3,1,5
8/26/2024,63,6/1/2017,7.24109589,7,M,4,5,Mother,5,5,Mother,F,6,"80% Swahili, 15% Luo, 5% English",Father,M,4,"80% Swahili, 15% Luo, 5% English",,,,,,,,,4,3,5,5,3,"paint, waterpaint",1,5,1,5,1,5,1,1,1,2,1,4
8/29/2024,64,12/28/2016,7.673972603,7,M,2,2,Mother,5,5,Mother,F,4,"80% Swahili, 20% English",Aunt,F,2,"70% Swahili, 30% Luo",Father,M,2,"90% Swahili, 10% Luo",,,,,4,4,3,3,2,"stick, bottle cap",1,2,1,10,1,2,1,1,1,5,1,7
8/29/2024,65,9/26/2016,7.928767123,7,F,6,10,Mother,3,3,Mother,F,4,"90% Swahili, 10% Luo",Aunt,F,6,100% Swahili,,,,,,,,,1,1,4,2,2,none,0,0,1,1,0,0,1,1,0,0,1,5
8/29/2024,66,8/30/2016,7.98,7,F,2,3,Mother,5,5,Mother,F,8,"80% Swahili, 20% Luo",Father,M,4,"80% Swahili, 20% Luo",,,,,,,,,1,4,4,3,1,none,1,2,1,4,1,2,1,2,1,4,1,5
8/29/2024,67,9/27/2016,7.926027397,7,M,2,3,Mother,5,5,Mother,F,4,"50% Swahili, 50% English",Father,M,2,"50% Swahili, 50% English",,,,,,,,,5,5,3,5,1,none,1,3,1,4,1,5,1,1,1,8,1,5
8/29/2024,68,8/31/2016,7.99,7,F,2,2,Mother,5,5,Mother,F,3,"97% Swahili, 3% English",Father,M,2,"95% Swahili, 5% English",Grandmother,F,4,"80% Swahili, 20% Luo",,,,,4,2,5,5,4,eyeliner pencil,1,4,1,6,1,4,1,1,1,3,1,6
8/29/2024,69,12/12/2016,7.717808219,7,F,2,2,Aunt,5,3,Mother,F,8,"80% Swahili, 20% Luo",Aunt,F,2,100% Swahili,Father,M,4,"50% Swahili, 50% Luo",Grandmother,F,8,"60% Luo, 40% Swahili",5,5,4,5,4,"stick, finger",1,2,1,10,1,5,1,1,1,20,1,5
8/29/2024,70,12/8/2016,7.728767123,7,F,5,3,Brother,3,1,Mother,F,2,"99% Swahili, 1% Luo",Father,M,2,100% Swahili,Sister,F,4,100% Swahili,Brother,M,4,"99% Swahili, 1% Luo",2,2,5,2,1,none,1,6,1,15,1,5,1,1,1,7,1,5
8/29/2024,71,10/16/2016,7.873972603,7,F,2,1,Mother,1,1,Mother,F,3,100% Swahili,,,,,,,,,,,,,4,4,4,5,1,none,1,4,1,8,1,2,0,0,1,10,1,5
8/29/2024,72,4/25/2017,7.350684932,7,F,3,1,Mother,5,5,Mother,F,8,"50% Swahili, 50% Luo",Aunt,F,10,"60% Luo, 40% Swahili",,,,,,,,,4,5,4,5,5,"stick, charcoal, chalk",1,2,1,6,1,2,1,1,1,4,1,3
8/29/2024,73,2/28/2017,7.504109589,7,M,2,2,Mother,6,6,Mother,F,5,"50% English, 45% Swahili, 5% Luo",Nanny,F,6,100% Swahili,,,,,,,,,4,3,4,5,3,"stick, charcoal, chalk",1,5,1,20,1,3,1,1,1,5,1,5
8/29/2024,74,3/9/2017,7.479452055,7,F,2,3,Mother,1,1,Mother,F,3,"80% Swahili, 20% Luo",Sister,F,3,100% Swahili,,,,,,,,,2,3,4,5,2,"charcoal, chalk",1,5,1,24,1,5,1,1,1,4,1,5
8/29/2024,75,7/2/2017,7.164383562,7,F,3,2,Sister,3,3,Mother,F,6,100% Swahili,Sister,F,6,100% Swahili,Father,M,3,100% Swahili,,,,,5,5,5,5,2,watercolors,1,3,1,5,1,3,1,1,1,4,1,4
8/29/2024,76,5/13/2017,7.301369863,7,M,2,4,Mother,1,1,Mother,F,5,"60% Luo, 40% Swahili",Father,M,3,"60% Luo, 40% Swahili",Aunt,F,2,"60% Luo, 40% Swahili",,,,,2,3,3,4,4,"charcoal, stone, cassava",1,6,1,7,1,2,1,1,1,3,1,5
8/29/2024,77,7/15/2017,7.128767123,7,F,3,5,Mother,5,5,Mother,F,4,"80% Swahili, 20% Luo",,,,,,,,,,,,,2,4,4,4,4,"charcoal, stick",1,2,1,5,0,0,1,1,1,2,1,3
8/29/2024,78,6/21/2017,7.194520548,7,M,3,3,Mother,1,1,Mother,F,5,"60% Swahili, 40% Luo",Father ,M,2,"60% Swahili, 40% Luo",,,,,,,,,2,4,2,3,1,none,1,1,1,2,1,3,1,1,1,3,1,5
8/29/2024,79,3/10/2017,7.476712329,7,M,2,3,Mother,1,1,Mother,F,2,"70% Swahili, 20% English, 10% Luo",Father ,M,1,"40% Swahili, 40% English, 20% Luo",,,,,,,,,4,4,4,4,4,sticks,1,5,1,12,1,4,1,1,1,20,1,3
8/29/2024,80,2/18/2017,7.531506849,7,M,4,1,Mother,3,3,Mother,F,4,100% Swahili,Father ,M,2,100% Swahili,,,,,,,,,4,2,4,2,3,bottle,1,6,1,12,1,5,1,1,1,24,1,5
8/29/2024,81,2/11/2016,8.553424658,8,M,2,2,Mother,3,3,Mother,F,4,"80% Swahili, 20% Luo",Father,M,3,"80% Swahili, 20% Luo",,,,,,,,,3,2,4,4,1,none,1,3,1,4,1,4,1,1,1,5,1,6
8/29/2024,82,12/4/2015,8.742465753,8,F,1,2,Mother,5,5,Mother,F,7,"80% Swahili, 20% Luo",Aunt,F,2,"80% Swahili, 20% Luo",,,,,,,,,2,2,4,4,4,stick,1,2,1,4,1,4,1,1,1,4,1,6
8/29/2024,83,9/14/2015,8.964383562,8,F,4,2,Aunt,6,5,Mother,F,3,"70% Swahili, 25% English, 5% Luo",Nanny,F,5,100% Swahili,,,,,,,,,3,3,4,5,2,"watercolor, paint, chalk, stick",1,5,1,20,1,3,1,1,1,20,1,5
8/29/2024,84,3/30/2016,8.421917808,8,F,2,3,Mother,5,5,Mother,F,5,"50% Swahili, 50% English",Grandmother,F,5,100% Swahili,,,,,,,,,5,5,5,5,5,"chalk, stick, charcoal",1,5,1,6,1,3,0,0,1,12,1,6
9/2/2024,85,4/20/2016,8.375342466,8,F,3,6,Aunt,3,3,Mother,F,8,"70% Swahili, 30% Luo",Father,M,3,"70% Swahili, 30% Luo",Aunt,F,2,"70% Swahili, 30% Luo",,,,,5,4,4,4,2,"charcoal, chalk",1,2,1,3,1,2,1,1,1,1,1,5
9/3/2024,86,8/19/2016,8.046575342,8,M,3,4,Mother,3,3,Mother,F,4,"80% Swahili, 20% English",Grandmother,F,2,100% Swahili,Uncle,M,2,"80% Swahili, 20% English",,,,,3,4,5,5,4,"charcoal, stone, stick",1,12,1,3,1,3,1,1,1,4,1,5
9/3/2024,87,6/6/2016,8.249315068,8,M,2,3,Mother,3,3,Mother,F,8,"60% Swahili, 40% Luo",,,,,,,,,,,,,5,4,5,5,2,"charcoal, chalk",1,3,1,24,1,4,1,1,1,10,1,5
9/3/2024,88,2/7/2016,8.578082192,8,M,3,1,Mother,5,5,Mother,F,5,"90% Swahili, 10% English",Father,M,3,100% Swahili,,,,,,,,,4,3,5,3,3,"stick, stone, chalk, charcoal",1,5,1,17,1,3,1,1,1,3,1,6
9/3/2024,89,6/23/2016,8.202739726,8,M,2,3,Mother,1,1,Mother,F,5,"90% Swahili, 10% Luo",Father,M,2,"95% Swahili, 5% Luo",,,,,,,,,3,3,4,3,1,none,1,2,1,6,1,1,1,1,1,2,1,5
9/3/2024,90,7/30/2016,8.101369863,8,M,1,1,Mother,5,5,Mother,F,5,"40% Swahili, 40% English, 20% Luo",Aunt,F,5,"80% Swahili, 20% Luo",,,,,,,,,5,5,5,5,1,none,1,4,1,3,1,1,1,1,1,10,1,5
9/3/2024,91,8/29/2016,8.019178082,8,M,2,4,Mother,1,1,Mother,F,5,"80% Swahili, 20% Luo",Father,M,3,"80% Swahili, 20% Luo",,,,,,,,,5,4,5,4,1,none,1,2,1,3,1,8,1,1,1,1,1,5
9/3/2024,92,4/3/2016,8.424657534,8,F,2,5,Mother,5,5,Mother,F,11,"60% Swahili, 40% English",Father,M,7,"60% Swahili, 40% English",,,,,,,,,4,3,4,5,1,none,1,15,1,20,1,20,1,1,1,10,1,6
9/3/2024,93,9/8/2015,8.994520548,8,F,2,2,Mother,1,1,Mother,F,6,"80% Swahili, 20% Luo",Father,M,4,"70% Swahili, 30% English",,,,,,,,,4,2,4,5,1,none,1,2,1,5,1,1,0,0,1,1,1,5
9/3/2024,94,8/23/2016,8.035616438,8,F,3,3,Mother,1,1,Mother,F,5,"80% Swahili, 20% Luo",Father,M,5,"80% Swahili, 20% Luo",Brother,M,3,100% Swahili,,,,,3,3,4,4,2,"stick, chalk, charcoal",1,1,1,3,1,1,0,0,1,1,1,6
9/3/2024,95,3/19/2016,8.465753425,8,F,2,3,Mother,1,1,Mother,F,4,"80% Swahili, 20% Luo",Father,M,4,"80% Swahili, 20% Luo",,,,,,,,,4,4,4,5,2,"stick, nail",1,2,1,25,1,3,1,1,1,10,1,4
9/3/2024,96,11/22/2015,8.789041096,8,F,2,3,Father,1,1,Father,M,2,"70% Swahili, 30% English",Mother,F,6,"70% Swahili, 30% English",,,,,,,,,3,3,5,2,3,charcoal,1,5,1,15,1,8,1,1,1,3,1,6
9/3/2024,97,7/20/2016,8.128767123,8,M,3,1,Mother,3,3,Mother,F,6,"60% Swahili, 40% Luo",Father,M,4,"50% Swahili, 50% Luo",,,,,,,,,3,3,4,3,1,none,1,2,1,2,1,3,1,1,1,3,1,4
9/3/2024,98,7/10/2016,8.156164384,8,F,5,1,Mother,1,1,Mother,F,3,"80% Swahili, 20% Luo",Father,M,2,"80% Swahili, 20% Luo",,,,,,,,,5,5,4,4,1,none,1,3,1,6,1,1,1,1,1,1,1,4
